:START_ID,:END_ID,:TYPE
7,50296,主要营养成分
7,50310,主要营养成分
7,50326,主要营养成分
7,50295,主要营养成分
7,50327,主要营养成分
7,50328,主要营养成分
450,50288,主要营养成分
450,50300,主要营养成分
13996,50303,主要营养成分
13996,50296,主要营养成分
13996,50295,主要营养成分
13996,50290,主要营养成分
14902,50361,主要营养成分
14902,50295,主要营养成分
14902,50290,主要营养成分
15680,50294,主要营养成分
15680,50290,主要营养成分
16278,50300,主要营养成分
16278,50290,主要营养成分
17136,50290,主要营养成分
17136,51943,主要营养成分
17136,50372,主要营养成分
17265,50296,主要营养成分
17265,50310,主要营养成分
17265,50930,主要营养成分
17265,50290,主要营养成分
17692,50296,主要营养成分
17692,50295,主要营养成分
17692,50290,主要营养成分
45326,50372,主要营养成分
45326,50290,主要营养成分
45360,50290,主要营养成分
45384,50314,主要营养成分
45459,50300,主要营养成分
45459,50290,主要营养成分
45889,50322,主要营养成分
45889,50295,主要营养成分
45889,50290,主要营养成分
46067,50300,主要营养成分
46067,50290,主要营养成分
46227,50327,主要营养成分
46600,50707,主要营养成分
46600,50300,主要营养成分
46600,50290,主要营养成分
46712,50302,主要营养成分
46712,50290,主要营养成分
46712,50341,主要营养成分
46743,50310,主要营养成分
46743,50343,主要营养成分
46743,50331,主要营养成分
46743,50342,主要营养成分
47160,50290,主要营养成分
47526,50290,主要营养成分
47526,50300,主要营养成分
47563,50326,主要营养成分
47563,50311,主要营养成分
47563,50310,主要营养成分
47563,50295,主要营养成分
47563,50290,主要营养成分
48037,50296,主要营养成分
48037,50290,主要营养成分
48071,50290,主要营养成分
48282,50361,主要营养成分
48282,50295,主要营养成分
48282,50290,主要营养成分
48541,50372,主要营养成分
48541,50300,主要营养成分
48635,50311,主要营养成分
48635,50310,主要营养成分
48635,50290,主要营养成分
48660,50294,主要营养成分
48660,50290,主要营养成分
48739,50297,主要营养成分
48739,50373,主要营养成分
48742,50786,主要营养成分
48742,50300,主要营养成分
48742,50290,主要营养成分
49023,51943,主要营养成分
49023,50290,主要营养成分
49110,50290,主要营养成分
49297,50304,主要营养成分
49297,50303,主要营养成分
49297,50302,主要营养成分
49610,50317,主要营养成分
49627,50326,主要营养成分
49627,50311,主要营养成分
49627,50310,主要营养成分
49627,50295,主要营养成分
49627,50290,主要营养成分
49680,50331,主要营养成分
49680,50330,主要营养成分
49680,50329,主要营养成分
49683,50332,主要营养成分
49683,50329,主要营养成分
49683,50300,主要营养成分
49683,50288,主要营养成分
49686,50288,主要营养成分
49686,50332,主要营养成分
49697,50334,主要营养成分
