:START_ID,:END_ID,:TYPE
53783,53784,主要食材
53783,462,主要食材
53783,567,主要食材
53783,16369,主要食材
53783,53531,主要食材
52726,259,主要食材
52726,508,主要食材
52726,600,主要食材
52726,52728,主要食材
52726,17032,主要食材
52726,16358,主要食材
52726,52729,主要食材
52726,45975,主要食材
52730,16986,主要食材
52730,16369,主要食材
52730,52731,主要食材
52730,285,主要食材
52730,545,主要食材
52730,247,主要食材
52730,533,主要食材
52730,45358,主要食材
52732,286,主要食材
52732,304,主要食材
52732,15224,主要食材
52732,52733,主要食材
52732,45739,主要食材
52732,553,主要食材
52732,555,主要食材
52732,45645,主要食材
52732,52734,主要食材
52732,17451,主要食材
52732,45267,主要食材
52732,52735,主要食材
52736,45773,主要食材
52736,52737,主要食材
52736,52738,主要食材
52736,527,主要食材
52736,304,主要食材
52736,45321,主要食材
52736,553,主要食材
52736,13748,主要食材
52736,567,主要食材
52736,45267,主要食材
52739,52740,主要食材
52739,45268,主要食材
52739,45879,主要食材
52739,176473,主要食材
52739,566,主要食材
52739,45877,主要食材
52741,17465,主要食材
52741,52742,主要食材
52741,462,主要食材
52741,445,主要食材
52741,52743,主要食材
52744,566,主要食材
52744,49025,主要食材
52744,16583,主要食材
52744,16369,主要食材
128791,45358,主要食材
128791,17451,主要食材
128791,46092,主要食材
128791,14002,主要食材
128791,52745,主要食材
52746,52747,主要食材
52746,52748,主要食材
52746,14868,主要食材
52746,187973,主要食材
52746,247,主要食材
52746,45321,主要食材
52741,178944,主要食材
52746,566,主要食材
52746,49025,主要食材
52750,45390,主要食材
52750,486,主要食材
52750,15402,主要食材
52750,566,主要食材
15000,52751,主要食材
15000,45358,主要食材
15000,15390,主要食材
15000,14856,主要食材
15000,45365,主要食材
15000,52752,主要食材
52753,17078,主要食材
52753,462,主要食材
52753,45879,主要食材
52753,13748,主要食材
52753,13902,主要食材
52753,45267,主要食材
52754,49502,主要食材
52754,575,主要食材
52754,16583,主要食材
52730,17451,主要食材
52755,286,主要食材
52755,304,主要食材
52755,49025,主要食材
52755,16369,主要食材
52755,462,主要食材
52755,52756,主要食材
52755,177604,主要食材
52755,45358,主要食材
52757,392,主要食材
52757,14898,主要食材
52757,377,主要食材
52757,393,主要食材
52757,528,主要食材
52757,13748,主要食材
52757,46694,主要食材
52758,17400,主要食材
52758,17465,主要食材
52758,52759,主要食材
52758,367,主要食材
52758,52760,主要食材
52758,45358,主要食材
52761,52762,主要食材
52761,52763,主要食材
52761,13633,主要食材
52761,52764,主要食材
52761,462,主要食材
52761,45358,主要食材
52732,13748,主要食材
52765,45773,主要食材
52765,52737,主要食材
52765,462,主要食材
52765,14898,主要食材
52766,13748,主要食材
52766,17197,主要食材
52766,250,主要食材
52767,51595,主要食材
52767,52768,主要食材
52767,508,主要食材
52767,14002,主要食材
52767,87,主要食材
52767,127,主要食材
52769,566,主要食材
52769,17451,主要食材
52769,14002,主要食材
52770,250,主要食材
52770,450,主要食材
52770,52227,主要食材
52771,52772,主要食材
52771,566,主要食材
52771,304,主要食材
52773,52774,主要食材
52773,52775,主要食材
52773,14868,主要食材
52773,304,主要食材
52776,13748,主要食材
52776,72,主要食材
52776,462,主要食材
52776,304,主要食材
52777,566,主要食材
52777,52778,主要食材
52777,46421,主要食材
52777,52779,主要食材
52777,14002,主要食材
52777,52780,主要食材
52781,52782,主要食材
52781,52784,主要食材
52781,527,主要食材
52781,508,主要食材
52781,52785,主要食材
52786,52787,主要食材
52786,304,主要食材
52786,52788,主要食材
52786,527,主要食材
52789,16403,主要食材
52789,462,主要食材
47721,52790,主要食材
47721,52791,主要食材
47721,52792,主要食材
47721,17197,主要食材
47721,49502,主要食材
47721,52793,主要食材
47721,13748,主要食材
52794,52745,主要食材
52794,546,主要食材
52794,52795,主要食材
52794,47976,主要食材
52796,14868,主要食材
52796,15910,主要食材
52796,16878,主要食材
52796,285,主要食材
52796,16320,主要食材
52796,527,主要食材
52797,14856,主要食材
52797,13748,主要食材
52797,52798,主要食材
52799,566,主要食材
52799,462,主要食材
52800,304,主要食材
52800,52774,主要食材
52800,52801,主要食材
52800,52802,主要食材
52800,16423,主要食材
52800,52803,主要食材
52800,52804,主要食材
52800,52805,主要食材
52800,52806,主要食材
52807,52808,主要食材
52807,462,主要食材
52807,52809,主要食材
52807,299,主要食材
52807,247,主要食材
52807,14593,主要食材
52807,52810,主要食材
52811,390,主要食材
