:START_ID,:END_ID,:TYPE
1014,3143,伴随症状
5953,2475,伴随症状
8876,1892,伴随症状
4657,2833,伴随症状
2031,9324,伴随症状
7631,4602,伴随症状
5603,3876,伴随症状
5379,1547,伴随症状
6271,3609,伴随症状
4608,9382,伴随症状
8526,5436,伴随症状
6406,2894,伴随症状
6429,3994,伴随症状
2882,2811,伴随症状
6093,5436,伴随症状
2658,3114,伴随症状
1784,771,伴随症状
2212,3122,伴随症状
1233,2833,伴随症状
9246,2741,伴随症状
4073,4967,伴随症状
2835,2657,伴随症状
3622,4763,伴随症状
911,725,伴随症状
7533,1221,伴随症状
5363,1739,伴随症状
4276,2879,伴随症状
6763,3173,伴随症状
2389,742,伴随症状
1651,1281,伴随症状
6860,2384,伴随症状
7146,5436,伴随症状
8989,2489,伴随症状
8546,1257,伴随症状
1770,1004,伴随症状
3151,3143,伴随症状
9063,8407,伴随症状
8923,938,伴随症状
6171,3876,伴随症状
4275,1029,伴随症状
2114,7070,伴随症状
995,7602,伴随症状
3783,4615,伴随症状
5358,627,伴随症状
6226,725,伴随症状
5111,1921,伴随症状
5525,2232,伴随症状
1160,5053,伴随症状
5010,5023,伴随症状
6343,8027,伴随症状
8079,722,伴随症状
897,861,伴随症状
3269,1543,伴随症状
6160,828,伴随症状
3445,4971,伴随症状
2668,2565,伴随症状
1791,939,伴随症状
6154,2811,伴随症状
8753,2478,伴随症状
3069,1274,伴随症状
6668,4622,伴随症状
1108,1385,伴随症状
1616,8782,伴随症状
9035,4615,伴随症状
1625,4506,伴随症状
3520,4602,伴随症状
5048,742,伴随症状
8963,1459,伴随症状
1306,6581,伴随症状
6978,799,伴随症状
5277,2407,伴随症状
1703,6581,伴随症状
2667,2668,伴随症状
3982,4124,伴随症状
5049,8991,伴随症状
1518,1739,伴随症状
5375,926,伴随症状
3235,1543,伴随症状
2347,3642,伴随症状
7980,7218,伴随症状
3510,739,伴随症状
8722,7885,伴随症状
7716,4802,伴随症状
726,3579,伴随症状
1594,2833,伴随症状
1693,3274,伴随症状
1963,3980,伴随症状
2474,3100,伴随症状
3072,9404,伴随症状
4792,914,伴随症状
3730,5436,伴随症状
4749,3666,伴随症状
798,745,伴随症状
5252,1159,伴随症状
7379,799,伴随症状
8640,8640,伴随症状
2947,2859,伴随症状
4684,3503,伴随症状
8251,9093,伴随症状
8523,650,伴随症状
9072,9369,伴随症状
7471,1739,伴随症状
3016,4576,伴随症状
6397,2919,伴随症状
2388,938,伴随症状
6902,9404,伴随症状
5821,3263,伴随症状
995,4124,伴随症状
2859,2736,伴随症状
3476,1794,伴随症状
4794,771,伴随症状
3542,5436,伴随症状
894,629,伴随症状
1770,3490,伴随症状
2744,4126,伴随症状
3338,2879,伴随症状
5703,2833,伴随症状
4326,1950,伴随症状
1613,2872,伴随症状
1791,916,伴随症状
5209,4579,伴随症状
9364,3855,伴随症状
7119,7663,伴随症状
5625,5008,伴随症状
2026,1407,伴随症状
895,771,伴随症状
2437,5236,伴随症状
2823,1385,伴随症状
6522,5531,伴随症状
8307,4310,伴随症状
2915,939,伴随症状
5735,1921,伴随症状
4185,3106,伴随症状
6059,1406,伴随症状
3403,1921,伴随症状
6444,2341,伴随症状
2438,8226,伴随症状
2807,3944,伴随症状
8090,8356,伴随症状
2012,627,伴随症状
4073,9393,伴随症状
1490,8782,伴随症状
9055,998,伴随症状
5137,9093,伴随症状
6422,914,伴随症状
3804,862,伴随症状
8284,6235,伴随症状
2724,2709,伴随症状
5076,6383,伴随症状
6928,8782,伴随症状
6767,3904,伴随症状
6979,2567,伴随症状
5191,5191,伴随症状
4267,807,伴随症状
4802,1306,伴随症状
6247,9365,伴随症状
2557,2598,伴随症状
803,825,伴随症状
9009,937,伴随症状
1871,3009,伴随症状
5473,2481,伴随症状
2815,7831,伴随症状
2815,8576,伴随症状
4145,9382,伴随症状
6393,7427,伴随症状
668,8523,伴随症状
8575,840,伴随症状
6016,2496,伴随症状
1669,6232,伴随症状
8053,4013,伴随症状
5702,1736,伴随症状
8912,1374,伴随症状
4668,2324,伴随症状
5106,8782,伴随症状
4371,3657,伴随症状
2227,4514,伴随症状
