:START_ID,:END_ID,:TYPE
124145,136921,制作工艺
124146,136926,制作工艺
124147,136925,制作工艺
124148,137068,制作工艺
124149,136952,制作工艺
124150,136976,制作工艺
124151,137076,制作工艺
124152,137055,制作工艺
124153,137076,制作工艺
124154,136943,制作工艺
124155,137080,制作工艺
124156,136943,制作工艺
124157,136943,制作工艺
124158,136943,制作工艺
124159,137084,制作工艺
124160,137084,制作工艺
124161,136943,制作工艺
124162,136943,制作工艺
124163,136943,制作工艺
124164,136943,制作工艺
124165,136943,制作工艺
124166,136943,制作工艺
124167,136943,制作工艺
124168,136943,制作工艺
124169,137055,制作工艺
124170,136976,制作工艺
124171,136976,制作工艺
124172,136976,制作工艺
124173,136976,制作工艺
124174,137055,制作工艺
124190,136918,制作工艺
124191,136918,制作工艺
124192,136918,制作工艺
124193,136918,制作工艺
124194,136918,制作工艺
124195,136918,制作工艺
123989,136914,制作工艺
123990,136915,制作工艺
123991,136916,制作工艺
123992,136917,制作工艺
123993,136918,制作工艺
123994,136919,制作工艺
123995,136914,制作工艺
124196,136918,制作工艺
124197,136918,制作工艺
124200,136918,制作工艺
124201,137068,制作工艺
124202,136918,制作工艺
124203,136939,制作工艺
124204,137129,制作工艺
124205,137024,制作工艺
124206,137131,制作工艺
124207,136971,制作工艺
124208,136976,制作工艺
124209,137134,制作工艺
124210,137135,制作工艺
124211,137055,制作工艺
124212,137131,制作工艺
124213,137076,制作工艺
124214,136945,制作工艺
124215,137076,制作工艺
124216,136921,制作工艺
124217,136921,制作工艺
124218,136954,制作工艺
124219,136921,制作工艺
124220,137055,制作工艺
124222,136970,制作工艺
123996,136921,制作工艺
123997,136914,制作工艺
123998,136923,制作工艺
123999,136921,制作工艺
124000,136925,制作工艺
124001,136926,制作工艺
124002,136921,制作工艺
124223,137050,制作工艺
124224,137149,制作工艺
124225,136918,制作工艺
124226,137000,制作工艺
124227,137050,制作工艺
124228,136957,制作工艺
124229,137050,制作工艺
124100,136954,制作工艺
124101,136945,制作工艺
124102,136974,制作工艺
124103,136925,制作工艺
124104,136953,制作工艺
124105,136925,制作工艺
124107,137032,制作工艺
124108,136941,制作工艺
124109,136916,制作工艺
124110,137035,制作工艺
124111,136921,制作工艺
