:START_ID,:END_ID,:TYPE
7,49649,功效
7,49650,功效
7,49673,功效
7,49674,功效
450,49874,功效
450,52341,功效
599,49726,功效
13631,49994,功效
13631,49993,功效
13683,50190,功效
13683,50154,功效
13683,50189,功效
13878,50277,功效
13878,50278,功效
13878,49957,功效
13978,50279,功效
14376,50154,功效
14376,49650,功效
14376,50122,功效
14528,50158,功效
14528,50157,功效
14528,50156,功效
14952,49933,功效
14952,49759,功效
15279,49662,功效
15289,50003,功效
15289,49646,功效
15463,49670,功效
15463,49669,功效
15463,49668,功效
15509,49982,功效
15666,49870,功效
15666,49869,功效
15680,50024,功效
15680,49648,功效
15862,49845,功效
15862,49887,功效
15902,49761,功效
15902,49760,功效
15933,49911,功效
15933,49781,功效
15965,49606,功效
15965,49605,功效
15990,50004,功效
15990,49854,功效
16071,49806,功效
16071,49630,功效
16195,49616,功效
16195,49615,功效
16277,49781,功效
16384,49774,功效
16384,49775,功效
16660,50002,功效
16660,50001,功效
16660,49910,功效
16711,50349,功效
16711,50348,功效
16739,50820,功效
16739,50894,功效
16739,50893,功效
16774,49848,功效
16774,49849,功效
16922,50849,功效
16922,49928,功效
16922,50848,功效
17136,51944,功效
17225,49649,功效
17225,50892,功效
17225,49906,功效
17225,50891,功效
17243,50280,功效
17243,49788,功效
17265,50181,功效
17265,50931,功效
17265,50892,功效
17265,49956,功效
17386,49968,功效
17546,50011,功效
17546,50010,功效
17573,50826,功效
17573,50825,功效
17759,49869,功效
17798,49696,功效
17798,49695,功效
17798,49694,功效
17941,50107,功效
17941,49928,功效
18047,49836,功效
18047,49835,功效
18098,50021,功效
18098,50273,功效
18098,51893,功效
18098,51892,功效
45269,50918,功效
45269,49751,功效
45286,50757,功效
45384,50313,功效
45384,50187,功效
45391,49622,功效
45425,50847,功效
45425,50846,功效
45425,50845,功效
45425,50844,功效
45544,49609,功效
45611,49621,功效
45633,49622,功效
45634,49623,功效
45672,49630,功效
45672,49629,功效
45680,49632,功效
45680,49631,功效
45830,49646,功效
45830,49645,功效
45843,49647,功效
45844,49651,功效
45844,49650,功效
45844,49649,功效
45844,49648,功效
45847,49652,功效
45860,49655,功效
45860,49654,功效
45860,49653,功效
45872,49658,功效
45872,49657,功效
45872,49656,功效
45886,49659,功效
45894,49663,功效
45906,49667,功效
45955,49671,功效
45955,49609,功效
45996,49677,功效
45996,49676,功效
45996,49675,功效
46007,49648,功效
46174,49722,功效
46197,49733,功效
46197,49732,功效
46263,49736,功效
46287,49737,功效
46287,49722,功效
46327,49622,功效
46362,49754,功效
46362,49753,功效
46373,49756,功效
46373,49755,功效
46374,49759,功效
46374,49758,功效
46374,49757,功效
46381,49762,功效
46385,49765,功效
46385,49764,功效
46385,49763,功效
46387,49768,功效
46387,49767,功效
46387,49766,功效
46388,49770,功效
46388,49769,功效
46390,49773,功效
46390,49772,功效
46390,49771,功效
46396,49774,功效
46399,49776,功效
46399,49605,功效
46402,49778,功效
46402,49777,功效
46403,49776,功效
46403,49779,功效
46404,49780,功效
46414,49781,功效
46414,49679,功效
46419,49783,功效
46419,49774,功效
46422,49785,功效
46422,49784,功效
46423,49776,功效
46423,49786,功效
46427,49788,功效
46427,49787,功效
46443,49790,功效
46443,49789,功效
46445,49791,功效
46452,49794,功效
46457,49795,功效
46462,49797,功效
46462,49796,功效
46472,49800,功效
46472,49799,功效
46474,49802,功效
46474,49801,功效
46482,49807,功效
46482,49777,功效
46484,49809,功效
46484,49808,功效
46485,49807,功效
46485,49810,功效
46488,49817,功效
46488,49816,功效
46492,49818,功效
46494,49820,功效
46494,49819,功效
46496,49822,功效
46496,49821,功效
46497,49823,功效
46513,49775,功效
46513,49834,功效
46516,49835,功效
46527,49841,功效
46527,49840,功效
46527,49839,功效
46528,49842,功效
46528,49752,功效
46530,49843,功效
46530,49820,功效
46540,49835,功效
46546,49853,功效
46546,49781,功效
46553,49849,功效
46553,49605,功效
46555,49855,功效
46555,49854,功效
46558,49856,功效
46558,49760,功效
46559,49857,功效
46560,49751,功效
46560,49771,功效
46564,49858,功效
46564,49760,功效
46569,49865,功效
46569,49864,功效
46574,49860,功效
46577,49872,功效
46577,49871,功效
46580,49875,功效
46580,49874,功效
46580,49873,功效
46581,49876,功效
46581,49869,功效
46584,49878,功效
46584,49877,功效
46592,49890,功效
46592,49889,功效
46592,49888,功效
46604,49892,功效
46604,49869,功效
46609,49882,功效
46612,49895,功效
46612,49882,功效
46614,49775,功效
46614,49896,功效
46641,49901,功效
46641,49900,功效
46649,49903,功效
46649,49902,功效
46649,49882,功效
46675,49904,功效
46714,49910,功效
46739,49912,功效
46758,49913,功效
46769,49915,功效
46769,49914,功效
46771,49772,功效
46771,49916,功效
46773,49921,功效
46773,49920,功效
46775,49922,功效
46775,49751,功效
46777,49924,功效
46777,49923,功效
46780,49932,功效
46780,49722,功效
46782,49935,功效
46782,49934,功效
46783,49936,功效
46786,49938,功效
46786,49937,功效
46795,49944,功效
46795,49945,功效
46799,49951,功效
46799,49741,功效
46799,49950,功效
46824,49969,功效
46824,49871,功效
46827,50016,功效
46827,50347,功效
46833,49970,功效
46833,49910,功效
46834,49972,功效
46834,49971,功效
46856,49907,功效
46861,49871,功效
46861,49977,功效
46861,49976,功效
46867,49978,功效
46871,49981,功效
46871,49980,功效
46888,49805,功效
46888,49984,功效
46901,49986,功效
46901,49985,功效
46907,49992,功效
46907,49608,功效
46911,49995,功效
46913,49996,功效
46924,49997,功效
46924,49788,功效
46928,49998,功效
46937,49999,功效
46940,49684,功效
46940,49960,功效
46940,49673,功效
46940,50000,功效
46942,50009,功效
46953,50013,功效
46953,50012,功效
46965,50014,功效
46967,49945,功效
46967,50016,功效
46967,50015,功效
46973,50019,功效
46973,50018,功效
46973,50017,功效
47001,50533,功效
47001,50027,功效
47001,49781,功效
47010,50028,功效
47010,49796,功效
47014,49861,功效
47014,50029,功效
47014,49648,功效
47016,50031,功效
47016,50030,功效
47017,51239,功效
47017,51238,功效
47019,50032,功效
47019,49871,功效
47031,50033,功效
47031,49867,功效
47034,50035,功效
47034,50034,功效
47035,50036,功效
47035,49775,功效
47036,50531,功效
47036,49835,功效
47036,50037,功效
47037,50039,功效
47037,49809,功效
47037,50038,功效
47039,50040,功效
47041,49916,功效
47041,50041,功效
47047,50045,功效
47060,50056,功效
47060,50055,功效
47060,49932,功效
47065,50058,功效
47065,49892,功效
47070,50357,功效
47070,50356,功效
47070,50355,功效
47070,49982,功效
47072,50065,功效
47072,49648,功效
47089,50071,功效
47089,50045,功效
47093,50072,功效
47147,50084,功效
47147,49781,功效
47149,50086,功效
47149,50085,功效
47162,50087,功效
47162,49781,功效
47197,50091,功效
47197,49869,功效
47208,50092,功效
47242,49916,功效
47242,50093,功效
47242,49918,功效
47243,50095,功效
47243,49894,功效
47243,50094,功效
47244,49954,功效
47244,50096,功效
47301,50098,功效
47301,50097,功效
47338,50853,功效
47338,50852,功效
47350,50104,功效
47393,50109,功效
47393,50108,功效
47397,50110,功效
47404,50111,功效
47413,50116,功效
47413,50115,功效
47415,49815,功效
47416,50117,功效
47418,50120,功效
47418,50119,功效
47418,50048,功效
47418,50118,功效
47419,50124,功效
47419,50123,功效
47422,50125,功效
47422,49673,功效
47425,50126,功效
47425,49677,功效
47441,49781,功效
47441,50130,功效
47457,50137,功效
47457,49717,功效
47457,50059,功效
47457,50021,功效
47464,50139,功效
47464,50138,功效
47476,49726,功效
47482,50065,功效
47482,50140,功效
47482,49741,功效
47482,49717,功效
47488,50142,功效
47488,50141,功效
47492,50144,功效
47492,50143,功效
47492,49717,功效
47496,49684,功效
47496,49960,功效
47496,49673,功效
47496,50000,功效
47501,50147,功效
47501,50146,功效
47501,50145,功效
47504,50148,功效
47504,49889,功效
47507,49650,功效
47507,50150,功效
47507,50149,功效
47510,50151,功效
47511,50153,功效
47511,50152,功效
47520,49608,功效
47520,50048,功效
