:START_ID,:END_ID,:TYPE
21513,21499,属于
21465,21487,属于
21473,21482,属于
21464,21499,属于
21471,21472,属于
21484,21487,属于
21486,21487,属于
21494,21499,属于
21466,21482,属于
21512,21481,属于
21474,21499,属于
21469,21499,属于
21489,21482,属于
21497,21501,属于
21505,21499,属于
21470,21499,属于
21503,21468,属于
21462,21482,属于
21502,21482,属于
21485,21511,属于
21477,21499,属于
21509,21482,属于
21479,21481,属于
21475,21499,属于
21463,21482,属于
21480,21501,属于
21506,21511,属于
21496,21468,属于
21515,21482,属于
21500,21482,属于
21490,21499,属于
21507,21482,属于
21493,21488,属于
21478,21501,属于
21514,21468,属于
21492,21488,属于
21467,21483,属于
6534,21479,所属科室
3372,21474,所属科室
3472,21510,所属科室
6106,21500,所属科室
9213,21471,所属科室
4093,21477,所属科室
7021,21463,所属科室
900,21477,所属科室
3305,21469,所属科室
7482,21474,所属科室
2748,21504,所属科室
3361,21510,所属科室
6934,21474,所属科室
4552,21491,所属科室
1370,21492,所属科室
2420,21503,所属科室
7923,21492,所属科室
7034,21509,所属科室
3963,21475,所属科室
6448,21503,所属科室
805,21496,所属科室
7250,21477,所属科室
3466,21489,所属科室
6817,21484,所属科室
4812,21479,所属科室
8322,21471,所属科室
5474,21513,所属科室
3019,21489,所属科室
2122,21489,所属科室
5269,21493,所属科室
5438,21504,所属科室
6130,21477,所属科室
6109,21515,所属科室
9287,21507,所属科室
6544,21492,所属科室
1600,21470,所属科室
5254,21507,所属科室
7396,21515,所属科室
4258,21477,所属科室
2619,21496,所属科室
3909,21479,所属科室
4140,21489,所属科室
8245,21513,所属科室
8770,21471,所属科室
2699,21514,所属科室
2294,21513,所属科室
8691,21471,所属科室
6748,21479,所属科室
6962,21505,所属科室
5464,21466,所属科室
4974,21491,所属科室
9314,21495,所属科室
872,21477,所属科室
4754,21478,所属科室
5232,21504,所属科室
4831,21504,所属科室
2175,21493,所属科室
9008,21474,所属科室
7333,21509,所属科室
1334,21505,所属科室
2155,21477,所属科室
1053,21493,所属科室
5282,21509,所属科室
1340,21505,所属科室
8039,21471,所属科室
2770,21515,所属科室
5220,21480,所属科室
5876,21490,所属科室
7715,21509,所属科室
1265,21469,所属科室
6281,21514,所属科室
8650,21471,所属科室
4327,21490,所属科室
6782,21474,所属科室
8397,21479,所属科室
3893,21495,所属科室
8061,21478,所属科室
5439,21505,所属科室
5493,21497,所属科室
9371,21479,所属科室
8410,21471,所属科室
1430,21513,所属科室
646,21462,所属科室
3993,21478,所属科室
9400,21513,所属科室
3710,21479,所属科室
3156,21479,所属科室
4624,21478,所属科室
6068,21503,所属科室
7395,21513,所属科室
7515,21490,所属科室
3386,21506,所属科室
3861,21496,所属科室
9350,21466,所属科室
2781,21505,所属科室
1440,21513,所属科室
9308,21490,所属科室
620,21474,所属科室
7485,21509,所属科室
685,21497,所属科室
4990,21513,所属科室
3865,21477,所属科室
4054,21478,所属科室
1678,21492,所属科室
4475,21478,所属科室
3929,21497,所属科室
4388,21478,所属科室
7904,21497,所属科室
6604,21479,所属科室
6678,21477,所属科室
5968,21505,所属科室
8383,21495,所属科室
4040,21478,所属科室
7335,21477,所属科室
1352,21505,所属科室
