:START_ID,:END_ID,:TYPE
996,12592,常用药品
7858,9577,常用药品
5300,9977,常用药品
6871,12715,常用药品
6457,13029,常用药品
1931,10959,常用药品
8469,11775,常用药品
4362,9486,常用药品
788,11800,常用药品
5282,10959,常用药品
6764,11002,常用药品
3901,10128,常用药品
2308,10102,常用药品
7018,10801,常用药品
3049,11099,常用药品
8792,9684,常用药品
8832,10531,常用药品
8198,10543,常用药品
3211,12941,常用药品
2143,9884,常用药品
6822,11490,常用药品
8622,12159,常用药品
1383,11847,常用药品
689,10816,常用药品
1054,10054,常用药品
5933,12539,常用药品
1399,9486,常用药品
2340,10457,常用药品
898,12592,常用药品
1605,12213,常用药品
2827,12958,常用药品
7539,12495,常用药品
4697,9741,常用药品
5032,11144,常用药品
3262,10773,常用药品
8506,10834,常用药品
5035,10903,常用药品
4972,12014,常用药品
676,11531,常用药品
8887,12120,常用药品
2802,12322,常用药品
9003,11841,常用药品
4485,12527,常用药品
1389,9635,常用药品
1238,12102,常用药品
4093,10074,常用药品
2549,11461,常用药品
8975,10395,常用药品
2421,11464,常用药品
9358,13029,常用药品
3714,12878,常用药品
6025,10871,常用药品
5896,12637,常用药品
3307,10615,常用药品
7478,11339,常用药品
6120,11423,常用药品
942,10312,常用药品
2108,10959,常用药品
1418,12901,常用药品
3862,13048,常用药品
4421,13004,常用药品
4712,10125,常用药品
7241,12264,常用药品
7349,10590,常用药品
6583,12159,常用药品
9128,10702,常用药品
1384,12742,常用药品
622,10615,常用药品
6598,12646,常用药品
2966,13111,常用药品
8128,10356,常用药品
7699,10989,常用药品
8799,10783,常用药品
6399,11990,常用药品
6886,12025,常用药品
8403,12514,常用药品
2657,12832,常用药品
5478,10456,常用药品
6739,13068,常用药品
9115,12895,常用药品
7292,12165,常用药品
3573,12605,常用药品
3620,12514,常用药品
941,13197,常用药品
2553,11490,常用药品
5360,11630,常用药品
664,11479,常用药品
5953,13029,常用药品
9257,12611,常用药品
888,11181,常用药品
5505,11927,常用药品
5657,12869,常用药品
6557,10014,常用药品
2861,11528,常用药品
5062,11490,常用药品
8444,12347,常用药品
1854,12190,常用药品
1600,10640,常用药品
3481,11278,常用药品
5064,10457,常用药品
1013,11498,常用药品
7165,12527,常用药品
3814,12478,常用药品
4713,11775,常用药品
9347,9822,常用药品
2195,11775,常用药品
1349,10888,常用药品
4363,10366,常用药品
5004,12848,常用药品
2707,10105,常用药品
6618,12255,常用药品
7940,10299,常用药品
8466,9645,常用药品
8510,10930,常用药品
7666,9777,常用药品
5703,11800,常用药品
7011,12514,常用药品
1031,13154,常用药品
6505,9499,常用药品
4847,12707,常用药品
7065,11374,常用药品
2605,11490,常用药品
5149,9759,常用药品
7924,12338,常用药品
5443,10775,常用药品
8011,9531,常用药品
3411,12715,常用药品
4686,12453,常用药品
639,11102,常用药品
4410,11396,常用药品
1773,10784,常用药品
6430,10726,常用药品
2015,12668,常用药品
3616,12089,常用药品
9207,13111,常用药品
6784,10283,常用药品
4509,10868,常用药品
5162,13066,常用药品
7594,12514,常用药品
1409,11780,常用药品
5802,12175,常用药品
5541,11393,常用药品
3029,12006,常用药品
9349,10658,常用药品
885,11342,常用药品
7883,11925,常用药品
1220,12514,常用药品
3734,10177,常用药品
3516,11156,常用药品
6032,11590,常用药品
8327,10531,常用药品
2921,10171,常用药品
