:START_ID,:END_ID,:TYPE
28245,12081,所属厂商
22902,9473,所属厂商
32590,9440,所属厂商
34814,12227,所属厂商
22741,10365,所属厂商
29451,12664,所属厂商
38044,10238,所属厂商
24754,12637,所属厂商
38564,10257,所属厂商
24591,12852,所属厂商
28468,10035,所属厂商
27743,11907,所属厂商
33080,11337,所属厂商
24136,12986,所属厂商
30542,10988,所属厂商
38235,12034,所属厂商
30453,9869,所属厂商
34055,10152,所属厂商
32987,12255,所属厂商
31253,10033,所属厂商
32776,9697,所属厂商
26034,10952,所属厂商
37777,11106,所属厂商
24565,10342,所属厂商
22699,10851,所属厂商
22529,11666,所属厂商
36397,13035,所属厂商
22426,9804,所属厂商
38393,9473,所属厂商
37122,10282,所属厂商
32379,11642,所属厂商
31059,11518,所属厂商
30028,11641,所属厂商
29041,11692,所属厂商
22281,12395,所属厂商
24369,12736,所属厂商
33753,11847,所属厂商
22955,10346,所属厂商
37180,10309,所属厂商
34363,13197,所属厂商
38211,11660,所属厂商
27105,12720,所属厂商
26670,10185,所属厂商
30533,11265,所属厂商
28214,10457,所属厂商
35927,12003,所属厂商
33074,12476,所属厂商
28181,10678,所属厂商
26000,11078,所属厂商
31844,10354,所属厂商
35581,11357,所属厂商
33029,11162,所属厂商
33918,12592,所属厂商
31368,9939,所属厂商
34017,11441,所属厂商
30029,11931,所属厂商
38619,9908,所属厂商
21571,9837,所属厂商
30448,11800,所属厂商
29341,9642,所属厂商
35783,10768,所属厂商
30062,11428,所属厂商
28605,10020,所属厂商
34550,12058,所属厂商
27523,12342,所属厂商
34132,11248,所属厂商
33722,12000,所属厂商
30836,12804,所属厂商
38213,10790,所属厂商
31842,11827,所属厂商
28524,10257,所属厂商
29967,12715,所属厂商
31296,9684,所属厂商
35368,10746,所属厂商
27213,9481,所属厂商
36001,11644,所属厂商
25042,12177,所属厂商
21986,11518,所属厂商
24194,12649,所属厂商
33323,11670,所属厂商
31744,9564,所属厂商
29639,10894,所属厂商
23288,9968,所属厂商
32929,11579,所属厂商
27890,10294,所属厂商
30411,9636,所属厂商
22261,9882,所属厂商
31813,12787,所属厂商
38231,10077,所属厂商
34989,12558,所属厂商
22423,10764,所属厂商
38041,13091,所属厂商
28216,9807,所属厂商
36149,11642,所属厂商
34091,12077,所属厂商
37317,10667,所属厂商
22385,12093,所属厂商
37525,12369,所属厂商
26473,12497,所属厂商
30899,11559,所属厂商
32676,12738,所属厂商
24063,12538,所属厂商
30660,11528,所属厂商
31581,10413,所属厂商
32988,9427,所属厂商
35803,12175,所属厂商
24515,10556,所属厂商
22465,9644,所属厂商
37428,12132,所属厂商
31123,11351,所属厂商
36478,10544,所属厂商
22135,12628,所属厂商
22814,12389,所属厂商
23051,10357,所属厂商
28585,11476,所属厂商
25398,11306,所属厂商
24920,10039,所属厂商
36782,12505,所属厂商
36050,12538,所属厂商
36465,12707,所属厂商
36294,10211,所属厂商
30888,11317,所属厂商
24250,11804,所属厂商
27876,11948,所属厂商
21945,11788,所属厂商
27137,12496,所属厂商
26798,10732,所属厂商
34517,12472,所属厂商
32100,12514,所属厂商
27168,11180,所属厂商
34005,12374,所属厂商
24776,9876,所属厂商
37152,11441,所属厂商
38550,9489,所属厂商
22193,9994,所属厂商
23602,9821,所属厂商
21600,10107,所属厂商
30494,12029,所属厂商
30377,9864,所属厂商
37831,12958,所属厂商
36289,12402,所属厂商
33119,10427,所属厂商
35459,12789,所属厂商
27790,10432,所属厂商
37791,11890,所属厂商
29445,9564,所属厂商
35994,12009,所属厂商
30749,11585,所属厂商
29148,12985,所属厂商
29270,9445,所属厂商
30308,10301,所属厂商
30806,10686,所属厂商
23968,11119,所属厂商
35009,13045,所属厂商
34652,11714,所属厂商
32713,12264,所属厂商
35422,10948,所属厂商
36089,9493,所属厂商
22236,11271,所属厂商
23148,10610,所属厂商
32245,9812,所属厂商
36800,9566,所属厂商
30450,11199,所属厂商
32564,10433,所属厂商
35644,12845,所属厂商
30656,13213,所属厂商
24334,9969,所属厂商
35190,10484,所属厂商
28850,10656,所属厂商
32321,12688,所属厂商
26068,10972,所属厂商
25710,11321,所属厂商
32964,10443,所属厂商
25190,10151,所属厂商
31524,12921,所属厂商
29223,12724,所属厂商
23140,12509,所属厂商
26478,12758,所属厂商
37283,11476,所属厂商
26946,9564,所属厂商
27433,10241,所属厂商
32153,11203,所属厂商
28736,11028,所属厂商
36605,10521,所属厂商
31131,12032,所属厂商
28920,12181,所属厂商
38090,11225,所属厂商
33163,9772,所属厂商
38689,13068,所属厂商
33345,12525,所属厂商
29713,10411,所属厂商
32594,10827,所属厂商
37362,12132,所属厂商
27235,10492,所属厂商
37776,12087,所属厂商
24349,11243,所属厂商
34949,13195,所属厂商
26580,10783,所属厂商
30934,12514,所属厂商
22737,12584,所属厂商
24948,12303,所属厂商
32370,12225,所属厂商
28165,9853,所属厂商
36214,10385,所属厂商
38707,11518,所属厂商
24789,10018,所属厂商
27099,9495,所属厂商
