:START_ID,:END_ID,:TYPE
2851,9565,推荐药物
5100,12022,推荐药物
4449,10801,推荐药物
5224,11725,推荐药物
6457,13029,推荐药物
5786,11386,推荐药物
6764,11002,推荐药物
6916,9808,推荐药物
1111,10825,推荐药物
1548,11128,推荐药物
691,11494,推荐药物
1701,9755,推荐药物
2143,9884,推荐药物
5606,10395,推荐药物
9080,12459,推荐药物
8622,12159,推荐药物
1383,11847,推荐药物
6307,12975,推荐药物
2340,10457,推荐药物
898,12592,推荐药物
8230,9473,推荐药物
3784,11636,推荐药物
2477,11450,推荐药物
5953,9840,推荐药物
7539,12495,推荐药物
7943,10903,推荐药物
3810,11471,推荐药物
7355,10656,推荐药物
8887,12120,推荐药物
676,11531,推荐药物
2802,12322,推荐药物
6379,12677,推荐药物
3239,9912,推荐药物
6945,12808,推荐药物
1786,12051,推荐药物
1389,9635,推荐药物
2362,10566,推荐药物
6571,13206,推荐药物
940,12493,推荐药物
7203,12527,推荐药物
7756,11490,推荐药物
2737,13101,推荐药物
3341,9522,推荐药物
6025,10871,推荐药物
7257,12794,推荐药物
1437,11723,推荐药物
5896,12637,推荐药物
8125,11096,推荐药物
5224,11370,推荐药物
5634,10672,推荐药物
7489,9546,推荐药物
4750,11828,推荐药物
1289,10898,推荐药物
2228,9499,推荐药物
1604,11580,推荐药物
3769,12635,推荐药物
942,10312,推荐药物
6120,11423,推荐药物
9122,10691,推荐药物
921,10233,推荐药物
3862,13048,推荐药物
2443,11111,推荐药物
2889,11205,推荐药物
8759,11573,推荐药物
7970,12523,推荐药物
6583,12159,推荐药物
682,13171,推荐药物
6154,11829,推荐药物
2966,13111,推荐药物
6285,10458,推荐药物
8836,11758,推荐药物
6399,11990,推荐药物
7292,12165,推荐药物
3573,12605,推荐药物
6164,12379,推荐药物
5360,11630,推荐药物
7383,9753,推荐药物
1555,11202,推荐药物
5062,11490,推荐药物
759,12673,推荐药物
8064,9605,推荐药物
7840,12051,推荐药物
1013,11498,推荐药物
8429,11453,推荐药物
9353,11533,推荐药物
8312,10795,推荐药物
935,11117,推荐药物
1605,10795,推荐药物
5213,12423,推荐药物
7818,11890,推荐药物
2195,11775,推荐药物
7940,10299,推荐药物
5004,12848,推荐药物
5648,11453,推荐药物
7924,10831,推荐药物
1111,12080,推荐药物
2753,10825,推荐药物
3303,11264,推荐药物
8949,9650,推荐药物
5053,12006,推荐药物
6886,10301,推荐药物
2177,11779,推荐药物
4574,12898,推荐药物
2638,12514,推荐药物
6639,12461,推荐药物
6430,10726,推荐药物
2015,12668,推荐药物
2078,10494,推荐药物
4286,10289,推荐药物
1359,10685,推荐药物
4851,13111,推荐药物
4509,10868,推荐药物
2999,11956,推荐药物
7594,12514,推荐药物
643,10168,推荐药物
8478,12076,推荐药物
5541,11393,推荐药物
3029,12006,推荐药物
7711,11741,推荐药物
4644,12116,推荐药物
3516,11156,推荐药物
8757,12672,推荐药物
2040,13036,推荐药物
5488,12394,推荐药物
9373,9563,推荐药物
8942,12668,推荐药物
2292,9709,推荐药物
7094,11697,推荐药物
7519,10768,推荐药物
3339,10242,推荐药物
2013,11779,推荐药物
3085,9484,推荐药物
6355,9888,推荐药物
6442,10531,推荐药物
6531,9564,推荐药物
8038,9447,推荐药物
1782,10544,推荐药物
4885,10347,推荐药物
7812,11227,推荐药物
8175,12186,推荐药物
4669,10560,推荐药物
9175,11131,推荐药物
5095,10240,推荐药物
4105,12902,推荐药物
2756,11879,推荐药物
3973,11764,推荐药物
1964,9899,推荐药物
1963,11473,推荐药物
3106,10391,推荐药物
3861,10970,推荐药物
3819,9676,推荐药物
8095,12452,推荐药物
6501,11067,推荐药物
2462,11052,推荐药物
4863,10366,推荐药物
6499,11636,推荐药物
3582,9864,推荐药物
1931,11779,推荐药物
9256,13068,推荐药物
5113,11594,推荐药物
6149,10141,推荐药物
3414,9919,推荐药物
7388,11218,推荐药物
7993,10694,推荐药物
8042,10284,推荐药物
6009,9701,推荐药物
2721,12076,推荐药物
2721,10600,推荐药物
2225,11441,推荐药物
6793,10330,推荐药物
8838,9555,推荐药物
2790,10746,推荐药物
4155,11482,推荐药物
9367,12451,推荐药物
5787,12527,推荐药物
8224,11614,推荐药物
4066,11559,推荐药物
4356,10025,推荐药物
6524,11096,推荐药物
8305,12249,推荐药物
6628,11464,推荐药物
7860,13077,推荐药物
2124,9769,推荐药物
1322,12100,推荐药物
677,12150,推荐药物
1988,10001,推荐药物
8272,10330,推荐药物
8853,10457,推荐药物
7152,13111,推荐药物
3513,10979,推荐药物
8235,9585,推荐药物
9346,9840,推荐药物
4672,10757,推荐药物
2665,13165,推荐药物
6645,11060,推荐药物
4509,12384,推荐药物
4927,11667,推荐药物
4986,12229,推荐药物
3840,9621,推荐药物
5002,10928,推荐药物
8846,11919,推荐药物
5787,9773,推荐药物
8149,10791,推荐药物
7158,13024,推荐药物
7242,12093,推荐药物
627,11339,推荐药物
845,11684,推荐药物
1594,9486,推荐药物
6497,12812,推荐药物
6893,11460,推荐药物
8290,11968,推荐药物
7386,10615,推荐药物
2673,11705,推荐药物
9047,9998,推荐药物
2565,12729,推荐药物
7647,10995,推荐药物
9103,11957,推荐药物
2717,12416,推荐药物
2893,12616,推荐药物
5904,10479,推荐药物
6813,11492,推荐药物
8154,11339,推荐药物
2797,12468,推荐药物
8177,12992,推荐药物
1234,13003,推荐药物
4633,12034,推荐药物
2271,10366,推荐药物
5211,10419,推荐药物
3795,12006,推荐药物
7977,10356,推荐药物
3944,10844,推荐药物
2327,10228,推荐药物
5379,11356,推荐药物
6375,10711,推荐药物
7505,10865,推荐药物
939,12379,推荐药物
6372,12173,推荐药物
5518,11965,推荐药物
783,12223,推荐药物
6645,9929,推荐药物
1521,10811,推荐药物
6143,10166,推荐药物
3767,11131,推荐药物
1347,10560,推荐药物
7226,10720,推荐药物
7774,11716,推荐药物
6400,9669,推荐药物
8937,9714,推荐药物
3995,10531,推荐药物
