:START_ID,:END_ID,:TYPE
4511,18,推荐食用
806,18,推荐食用
3488,18,推荐食用
2562,18,推荐食用
8344,18,推荐食用
4282,18,推荐食用
8871,18,推荐食用
4637,18,推荐食用
9009,18,推荐食用
1753,18,推荐食用
2856,18,推荐食用
3965,18,推荐食用
2007,18,推荐食用
4031,18,推荐食用
659,18,推荐食用
2036,229,推荐食用
3285,229,推荐食用
5163,229,推荐食用
8390,229,推荐食用
1969,229,推荐食用
3906,330,推荐食用
5860,17923,推荐食用
3089,13456,推荐食用
7026,13327,推荐食用
2710,15262,推荐食用
6985,16417,推荐食用
2902,18071,推荐食用
6398,14602,推荐食用
3079,15843,推荐食用
5163,13936,推荐食用
3366,17034,推荐食用
2099,14632,推荐食用
2495,13815,推荐食用
8950,13311,推荐食用
6640,17401,推荐食用
5149,17184,推荐食用
9308,16517,推荐食用
4965,17995,推荐食用
5741,17636,推荐食用
954,16316,推荐食用
5959,17995,推荐食用
2165,17023,推荐食用
7547,15658,推荐食用
6661,17713,推荐食用
4036,14215,推荐食用
4828,16079,推荐食用
4939,15110,推荐食用
4146,17916,推荐食用
4573,17059,推荐食用
6238,16645,推荐食用
3801,16412,推荐食用
5126,17471,推荐食用
2379,15079,推荐食用
876,16943,推荐食用
5473,17896,推荐食用
8092,17001,推荐食用
1902,16187,推荐食用
4815,17997,推荐食用
8975,13724,推荐食用
4690,15496,推荐食用
7565,15675,推荐食用
3609,14513,推荐食用
5599,14874,推荐食用
8708,16671,推荐食用
967,16751,推荐食用
1320,16372,推荐食用
7577,14922,推荐食用
620,14994,推荐食用
6008,16763,推荐食用
4088,15148,推荐食用
2130,16664,推荐食用
3854,16788,推荐食用
5894,14994,推荐食用
8560,16592,推荐食用
2733,15941,推荐食用
4722,15043,推荐食用
1417,16016,推荐食用
8720,15870,推荐食用
4503,15752,推荐食用
7598,17714,推荐食用
7897,14723,推荐食用
8953,14994,推荐食用
6754,16707,推荐食用
657,15148,推荐食用
7253,14199,推荐食用
6294,13988,推荐食用
1746,15589,推荐食用
1721,17769,推荐食用
7072,16464,推荐食用
1120,14569,推荐食用
8360,15105,推荐食用
1915,17288,推荐食用
2230,17401,推荐食用
3416,14433,推荐食用
6208,13906,推荐食用
6270,15772,推荐食用
1361,17401,推荐食用
2114,14815,推荐食用
2473,16659,推荐食用
7640,15941,推荐食用
834,13689,推荐食用
7676,16438,推荐食用
6505,15489,推荐食用
2286,15969,推荐食用
2994,16659,推荐食用
3741,17698,推荐食用
8181,16872,推荐食用
7042,16849,推荐食用
8526,15755,推荐食用
2029,15996,推荐食用
8089,17849,推荐食用
3806,17685,推荐食用
3612,17603,推荐食用
1797,15704,推荐食用
2402,17137,推荐食用
5636,14015,推荐食用
3149,17636,推荐食用
1951,14021,推荐食用
7917,16659,推荐食用
1605,17500,推荐食用
4248,17148,推荐食用
5879,17082,推荐食用
2573,14079,推荐食用
1753,17013,推荐食用
8046,16659,推荐食用
7297,15962,推荐食用
1775,16357,推荐食用
2311,15603,推荐食用
4497,17229,推荐食用
6288,14015,推荐食用
7632,15121,推荐食用
8666,14822,推荐食用
4096,15362,推荐食用
4767,14650,推荐食用
1904,14958,推荐食用
8433,16976,推荐食用
1548,14995,推荐食用
5852,16486,推荐食用
5215,16731,推荐食用
8128,17140,推荐食用
5876,14403,推荐食用
5193,17683,推荐食用
5675,14015,推荐食用
967,17061,推荐食用
2208,17001,推荐食用
3319,15053,推荐食用
5763,13738,推荐食用
3246,16470,推荐食用
7949,15401,推荐食用
8721,17666,推荐食用
1843,17446,推荐食用
4727,17997,推荐食用
3737,13883,推荐食用
961,15469,推荐食用
3403,16733,推荐食用
891,17500,推荐食用
7201,13939,推荐食用
3995,16291,推荐食用
1676,14382,推荐食用
3171,17685,推荐食用
3876,14521,推荐食用
3454,14175,推荐食用
4884,16902,推荐食用
7667,16187,推荐食用
7021,13350,推荐食用
4415,18071,推荐食用
4139,14698,推荐食用
4512,16619,推荐食用
4781,14968,推荐食用
1357,17167,推荐食用
