:START_ID,:END_ID,:TYPE
7410,42401,有症状
8521,40499,有症状
9047,39805,有症状
6741,44541,有症状
775,41547,有症状
1328,39110,有症状
1352,41209,有症状
3711,39642,有症状
986,44354,有症状
7354,42702,有症状
1344,40846,有症状
2783,42054,有症状
2560,41078,有症状
8533,44229,有症状
8984,42903,有症状
7975,44104,有症状
1551,42682,有症状
1826,40071,有症状
1389,42485,有症状
7393,43028,有症状
2880,40048,有症状
9157,41636,有症状
7315,40982,有症状
1593,40991,有症状
7611,38775,有症状
717,41990,有症状
8153,42401,有症状
2347,41642,有症状
5414,38866,有症状
8435,39357,有症状
3258,42682,有症状
5030,39985,有症状
4245,43062,有症状
4573,43307,有症状
5637,44432,有症状
3542,41417,有症状
6344,42779,有症状
3932,39030,有症状
7171,40071,有症状
7269,38989,有症状
1710,39292,有症状
6510,42288,有症状
7768,38984,有症状
8429,39979,有症状
4289,42401,有症状
2224,44568,有症状
2258,43594,有症状
1864,43067,有症状
8405,39041,有症状
8919,39322,有症状
5373,42281,有症状
9167,39283,有症状
2496,42414,有症状
8598,41296,有症状
4479,42980,有症状
2251,39199,有症状
6934,41518,有症状
7440,40324,有症状
3204,41456,有症状
3533,43120,有症状
9135,38775,有症状
2850,43842,有症状
3732,40090,有症状
2094,43521,有症状
8263,40071,有症状
6778,40782,有症状
2536,39931,有症状
2464,42428,有症状
3222,43648,有症状
1296,39412,有症状
1915,41573,有症状
1943,39447,有症状
2254,43088,有症状
3296,38747,有症状
1586,40445,有症状
3277,40763,有症状
640,41518,有症状
1810,42646,有症状
4607,43273,有症状
3740,41738,有症状
6903,40072,有症状
7990,43735,有症状
2298,42927,有症状
1673,43162,有症状
5889,38951,有症状
1055,40194,有症状
2338,43794,有症状
5299,39412,有症状
8660,44618,有症状
6461,42947,有症状
7414,43302,有症状
7173,42254,有症状
2777,40070,有症状
3671,43799,有症状
6728,40445,有症状
3331,39165,有症状
3944,43970,有症状
5810,41059,有症状
625,40384,有症状
3183,41094,有症状
5545,42797,有症状
3437,43667,有症状
6352,43529,有症状
3745,44229,有症状
5587,40643,有症状
1866,39871,有症状
6442,39581,有症状
2341,38843,有症状
8040,41663,有症状
3354,39161,有症状
4141,44394,有症状
5183,41674,有症状
5334,41518,有症状
1606,41732,有症状
4691,39449,有症状
5194,39216,有症状
8216,39283,有症状
4154,44394,有症状
6569,43855,有症状
2945,39188,有症状
3776,40110,有症状
7630,42313,有症状
9327,43866,有症状
660,39805,有症状
2123,38773,有症状
2613,41078,有症状
713,42401,有症状
1348,44120,有症状
7373,40300,有症状
5000,42428,有症状
2644,39283,有症状
5071,42128,有症状
5598,39359,有症状
2641,39283,有症状
6013,44053,有症状
6073,39769,有症状
6706,39953,有症状
7151,43720,有症状
7673,42236,有症状
905,39435,有症状
6121,40770,有症状
4232,41273,有症状
671,39435,有症状
7435,39498,有症状
5968,42750,有症状
2500,41390,有症状
6002,39435,有症状
2145,40672,有症状
1618,43750,有症状
5448,43115,有症状
2545,44223,有症状
1375,42401,有症状
7209,42762,有症状
1780,40394,有症状
5341,42281,有症状
4053,42266,有症状
8859,42435,有症状
8683,40221,有症状
2995,39357,有症状
6546,42401,有症状
3745,42401,有症状
3409,40394,有症状
4757,39110,有症状
5093,41682,有症状
3008,39255,有症状
8575,43120,有症状
6229,42201,有症状
1517,40375,有症状
5301,39581,有症状
1997,40877,有症状
4107,40375,有症状
6843,40991,有症状
3959,39915,有症状
5054,44541,有症状
683,40643,有症状
3341,40070,有症状
8767,44555,有症状
6735,42889,有症状
1880,38822,有症状
4218,41077,有症状
4715,39113,有症状
5054,39359,有症状
7064,43259,有症状
9135,43529,有症状
2925,44489,有症状
3811,39898,有症状
1570,44618,有症状
7989,41241,有症状
9058,40327,有症状
8059,42288,有症状
8184,41116,有症状
5958,40831,有症状
1881,39362,有症状
782,40070,有症状
5780,43058,有症状
6152,43424,有症状
2807,41266,有症状
4550,39359,有症状
719,44607,有症状
8809,43403,有症状
2579,41801,有症状
4702,44394,有症状
7894,42609,有症状
2840,39435,有症状
6335,42401,有症状
2962,41108,有症状
5113,39688,有症状
5498,43120,有症状
5827,39980,有症状
2001,42401,有症状
2620,39283,有症状
5223,42428,有症状
8928,39435,有症状
6290,44011,有症状
4128,44386,有症状
6194,44468,有症状
2317,42877,有症状
1836,39581,有症状
3779,38905,有症状
4475,40991,有症状
6532,40331,有症状
6828,38783,有症状
5652,44457,有症状
6885,39581,有症状
6424,41059,有症状
7319,43599,有症状
1030,38787,有症状
1749,42044,有症状
2562,44024,有症状
5590,39512,有症状
1802,44352,有症状
6136,39962,有症状
940,42794,有症状
6265,41328,有症状
5189,41979,有症状
3787,43667,有症状
6150,43307,有症状
7703,43581,有症状
4066,40646,有症状
3812,43307,有症状
7280,43868,有症状
9389,44009,有症状
8230,43115,有症状
832,44053,有症状
4877,41483,有症状
1088,42095,有症状
1455,39283,有症状
2712,40230,有症状
7841,43791,有症状
4904,38932,有症状
4805,40070,有症状
1346,42904,有症状
1518,40891,有症状
1668,39168,有症状
4433,42019,有症状
8926,43599,有症状
9051,40528,有症状
2553,39505,有症状
7653,39236,有症状
2823,43842,有症状
9090,42313,有症状
2490,44502,有症状
689,41234,有症状
4092,39435,有症状
2909,42428,有症状
6632,39283,有症状
2271,40779,有症状
5968,44245,有症状
7083,40458,有症状
5563,40955,有症状
4626,43194,有症状
2293,44394,有症状
3399,39391,有症状
1705,41220,有症状
4547,44481,有症状
8335,42899,有症状
8875,42008,有症状
6319,41529,有症状
5813,39113,有症状
961,41803,有症状
6450,39313,有症状
2938,39435,有症状
4642,40179,有症状
6419,42682,有症状
891,41383,有症状
6641,41234,有症状
6170,44341,有症状
4183,41311,有症状
983,40558,有症状
3277,39435,有症状
4123,40318,有症状
7680,42193,有症状
8236,44324,有症状
6024,41809,有症状
7490,42544,有症状
4520,44607,有症状
7705,38949,有症状
3288,43302,有症状
4614,39868,有症状
5722,41761,有症状
4652,40318,有症状
4765,43090,有症状
3580,39735,有症状
1248,38922,有症状
1117,43731,有症状
1469,38886,有症状
7805,40537,有症状
6129,40994,有症状
741,40643,有症状
3426,39435,有症状
5856,41915,有症状
1343,39708,有症状
1657,43885,有症状
4385,44125,有症状
1801,44614,有症状
7765,44394,有症状
7763,42288,有症状
1844,40779,有症状
3961,44162,有症状
8361,39639,有症状
