:START_ID,:END_ID,:TYPE
7042,44966,治疗方法
1342,45116,治疗方法
2918,45007,治疗方法
3138,44966,治疗方法
7698,45096,治疗方法
3118,45094,治疗方法
8779,45007,治疗方法
1367,45081,治疗方法
2066,45007,治疗方法
1509,44966,治疗方法
8871,45116,治疗方法
1516,44966,治疗方法
7378,44966,治疗方法
3971,44966,治疗方法
5223,45007,治疗方法
5482,45007,治疗方法
4313,44966,治疗方法
9363,44966,治疗方法
5624,45007,治疗方法
9332,44966,治疗方法
7603,45007,治疗方法
5354,45007,治疗方法
9085,45007,治疗方法
6404,44966,治疗方法
1113,45116,治疗方法
4674,44797,治疗方法
5925,45158,治疗方法
9151,45007,治疗方法
2465,45007,治疗方法
843,45116,治疗方法
5932,45007,治疗方法
9207,45007,治疗方法
7318,45007,治疗方法
4136,45007,治疗方法
8865,44966,治疗方法
2698,45081,治疗方法
9014,45094,治疗方法
4314,44966,治疗方法
7510,45007,治疗方法
4829,44966,治疗方法
3120,44966,治疗方法
3070,44966,治疗方法
5167,45007,治疗方法
7665,45007,治疗方法
6257,45007,治疗方法
4630,44966,治疗方法
6959,45007,治疗方法
6830,45116,治疗方法
1396,44966,治疗方法
8758,44966,治疗方法
3443,44966,治疗方法
963,44966,治疗方法
1193,45081,治疗方法
2381,44966,治疗方法
2468,45007,治疗方法
7043,44916,治疗方法
3607,44966,治疗方法
1792,44966,治疗方法
8061,45081,治疗方法
4295,45116,治疗方法
8021,45007,治疗方法
1285,45087,治疗方法
6492,45164,治疗方法
9114,44966,治疗方法
5934,45081,治疗方法
1952,45081,治疗方法
5565,44966,治疗方法
6837,44966,治疗方法
3911,44966,治疗方法
1247,45087,治疗方法
5347,44966,治疗方法
5149,44966,治疗方法
7312,45007,治疗方法
1006,44966,治疗方法
3723,45116,治疗方法
5501,45007,治疗方法
3689,44966,治疗方法
1716,45081,治疗方法
1002,45048,治疗方法
5330,45007,治疗方法
6938,45158,治疗方法
7905,44966,治疗方法
2812,45007,治疗方法
2030,45007,治疗方法
5269,45007,治疗方法
877,45081,治疗方法
5462,45116,治疗方法
5240,45081,治疗方法
2161,45081,治疗方法
1626,44966,治疗方法
6348,45124,治疗方法
6128,45027,治疗方法
7994,45007,治疗方法
3393,44966,治疗方法
8405,44966,治疗方法
7173,45116,治疗方法
9409,45081,治疗方法
971,45116,治疗方法
987,45081,治疗方法
4935,45007,治疗方法
9171,44809,治疗方法
8685,45007,治疗方法
1237,45087,治疗方法
4007,45007,治疗方法
6493,45007,治疗方法
7513,45007,治疗方法
8656,45007,治疗方法
8882,45007,治疗方法
6338,45116,治疗方法
8059,44966,治疗方法
6738,45217,治疗方法
5983,45007,治疗方法
2516,45027,治疗方法
7002,45007,治疗方法
3682,44966,治疗方法
2130,44966,治疗方法
6480,45007,治疗方法
765,44966,治疗方法
4171,45007,治疗方法
3026,45007,治疗方法
7381,45116,治疗方法
1499,45007,治疗方法
7953,44966,治疗方法
9263,44966,治疗方法
8261,45112,治疗方法
1632,45007,治疗方法
4191,45007,治疗方法
5832,45087,治疗方法
1919,44786,治疗方法
4754,45116,治疗方法
