:START_ID,:END_ID,:TYPE
3124,19347,诊断检查
2858,20770,诊断检查
5345,19925,诊断检查
6968,20158,诊断检查
8154,20158,诊断检查
8789,20518,诊断检查
2546,19730,诊断检查
4137,19847,诊断检查
3445,19290,诊断检查
6971,20396,诊断检查
934,18206,诊断检查
3027,18626,诊断检查
5223,20444,诊断检查
6041,21400,诊断检查
3623,19802,诊断检查
3539,19671,诊断检查
1359,20615,诊断检查
3838,18540,诊断检查
2347,21010,诊断检查
4423,20775,诊断检查
6863,19617,诊断检查
9119,19917,诊断检查
9359,19178,诊断检查
2091,19512,诊断检查
5947,20664,诊断检查
1737,19202,诊断检查
4765,21409,诊断检查
4563,19570,诊断检查
806,19030,诊断检查
7154,21229,诊断检查
9071,18744,诊断检查
7100,19458,诊断检查
8981,19570,诊断检查
3077,19197,诊断检查
7421,20518,诊断检查
7757,18639,诊断检查
1320,19917,诊断检查
3081,19477,诊断检查
3096,19798,诊断检查
1860,20559,诊断检查
7595,18632,诊断检查
4927,19946,诊断检查
3080,18258,诊断检查
6000,20615,诊断检查
861,20305,诊断检查
6448,19716,诊断检查
7595,18308,诊断检查
2797,19202,诊断检查
4649,18998,诊断检查
8633,19722,诊断检查
4096,18540,诊断检查
4640,18145,诊断检查
1920,18832,诊断检查
1213,20482,诊断检查
8693,19675,诊断检查
1438,18612,诊断检查
4321,19594,诊断检查
713,19519,诊断检查
4060,19290,诊断检查
7847,19347,诊断检查
1027,21199,诊断检查
3383,21382,诊断检查
5471,19570,诊断检查
7337,18801,诊断检查
4334,19519,诊断检查
1163,18308,诊断检查
7739,20615,诊断检查
6297,19451,诊断检查
5921,20630,诊断检查
9343,20615,诊断检查
5646,18130,诊断检查
829,20733,诊断检查
4387,18582,诊断检查
4827,19477,诊断检查
5311,19286,诊断检查
7558,20627,诊断检查
1693,20169,诊断检查
1716,20780,诊断检查
7106,18988,诊断检查
2329,21229,诊断检查
6022,20825,诊断检查
3940,19486,诊断检查
1423,19949,诊断检查
3464,19538,诊断检查
1860,20158,诊断检查
807,19019,诊断检查
7411,21330,诊断检查
5472,20615,诊断检查
5113,19617,诊断检查
8249,20110,诊断检查
5246,20110,诊断检查
4841,20891,诊断检查
2785,18258,诊断检查
7554,19223,诊断检查
3393,20019,诊断检查
8616,19787,诊断检查
7394,18690,诊断检查
915,19941,诊断检查
2450,20705,诊断检查
1961,20518,诊断检查
1492,18998,诊断检查
5004,19715,诊断检查
2121,21330,诊断检查
1148,20294,诊断检查
968,21411,诊断检查
3054,21382,诊断检查
4203,19172,诊断检查
6074,20615,诊断检查
6096,20158,诊断检查
3747,20664,诊断检查
6024,20184,诊断检查
4367,20559,诊断检查
6833,19716,诊断检查
7200,20615,诊断检查
4639,18528,诊断检查
5926,19486,诊断检查
7113,19223,诊断检查
8857,20756,诊断检查
