功效:ID,:LABEL,name
49601,功效,丰胸减肥
49603,功效,开胃助食
49604,功效,增进食欲
49605,功效,益气养血
49606,功效,健脾宽中
49608,功效,润肺止咳
49609,功效,气血双补
49611,功效,治疗眼疾
49614,功效,防止动脉硬化
49615,功效,海蜇能降血压
49616,功效,治哮喘
49618,功效,腹痛
49619,功效,腹胀
49620,功效,食欲缺乏
49621,功效,主要治疗慢性胃炎肝气犯胃型
49622,功效,营养丰富
49623,功效,滋阴益气
49625,功效,补充营养
49626,功效,利尿消肿
49628,功效,保健功效
49629,功效,补肺润肺
49630,功效,化痰止咳
49631,功效,解热除烦
49632,功效,解渴
49633,功效,抵御寒冷
49634,功效,脾胃消化
49636,功效,滋补肝阴
49638,功效,梅花粥
49639,功效,舒肝理气
49640,功效,健脾开胃
49642,功效,滋阴补阳
49644,功效,调味品
49645,功效,补肾涩精
49646,功效,健脾益气
49647,功效,清热利尿
49648,功效,清热解毒
49649,功效,开胃
49650,功效,健脾
49651,功效,利湿
49652,功效,化识解热
49653,功效,湿热
49654,功效,细菌性感染肝炎
49655,功效,痢疾
49656,功效,健脾胃
49657,功效,益心肾
49658,功效,补虚损
49659,功效,养血润肠
49661,功效,提供糖分
49662,功效,补充能量
49663,功效,清理肠胃热湿燥便秘口臭
49665,功效,滋润祛燥
49666,功效,止热咳
49667,功效,清润益气
49668,功效,润肺燥
49669,功效,益肺气
49670,功效,清痰火
49671,功效,补虚养身
49673,功效,补虚
49674,功效,调血
49675,功效,滋肝肾
49676,功效,养血滋阴
49677,功效,益气
49679,功效,提神醒脑
49681,功效,清心明目
49682,功效,健脑提神
49684,功效,抗衰老
49685,功效,防癌
49687,功效,茶叶
49689,功效,保护神经细胞
49690,功效,对脑损伤
49691,功效,能通达调节脑中神经传达
49693,功效,消炎
49694,功效,消肿满
49695,功效,下恶气
49696,功效,利宿水
49698,功效,美容祛斑
49699,功效,延缓皮肤衰老
49701,功效,破血祛瘀
49702,功效,行气止痛
49704,功效,软化心脑血管
49706,功效,解表
49707,功效,祛湿
49708,功效,和中
49710,功效,医治小儿惊厥
49711,功效,馈赠贵宾
49713,功效,促进脂肪代谢
49714,功效,养胃健脾
49716,功效,调味
49717,功效,健胃
49719,功效,充饥
49720,功效,解毒（草菇）
49721,功效,补充蛋白质
49722,功效,滋阴
49723,功效,健脾开胃调理
49724,功效,便秘调理
49726,功效,解暑
49727,功效,消热
49729,功效,和中下气
49730,功效,僻秽浊
49731,功效,治下痢腹痛
49732,功效,金黄软香
49733,功效,具有独特的降脂作用
49734,功效,补虚养身调理
49735,功效,营养不良调理
49736,功效,补气调理
49737,功效,补阳
49739,功效,除湿消肿
49741,功效,补血
49742,功效,健脾暖胃
49743,功效,止汗
49745,功效,疗饥
49747,功效,调经养血
49749,功效,内服：煎汤3-9g
49751,功效,滋阴养血
49752,功效,补脾益气
49753,功效,祛风清头目
49754,功效,益肝养心气。
49755,功效,功效养心神
49756,功效,补气血。
49757,功效,健脾补血
49758,功效,补心安神
49759,功效,滋阴清热
49760,功效,补气血
49761,功效,安心神
49762,功效,养血安神
49763,功效,补肾益血
49764,功效,增强记忆
49765,功效,安神定志
49766,功效,益五脏
49767,功效,补精血
49768,功效,增智慧。
49769,功效,健脑增智
49770,功效,补肾明目
49771,功效,补肾益气
49772,功效,填精补髓
49773,功效,健脑益智。
49774,功效,补脑益智
49775,功效,健脾和胃
49776,功效,健脑益智
49777,功效,补益脾肾
49778,功效,健脑增智。
49779,功效,补脾益胃
49780,功效,滋补健脑。
49781,功效,补益气血
49782,功效,清心健脑功效
49783,功效,强筋壮骨。
49784,功效,补肾填髓
49785,功效,荣脑益智
49786,功效,补脾益寿
49787,功效,补肾养血
49788,功效,滋阴润燥
49789,功效,益肾填精
49790,功效,补脑健脾
49791,功效,利胆消石
49793,功效,清利湿热。
49794,功效,和胃行气
49795,功效,清热健脾利湿
49796,功效,清热利湿
49797,功效,补血扶正。
49799,功效,补益肺肾
49800,功效,生津润肺
49801,功效,补益肺气
49802,功效,健脾敛汗
49804,功效,润肺养阴
49805,功效,止咳化痰
49806,功效,清热生津
49807,功效,宣肺止咳
49808,功效,补气益肺
49809,功效,健脾生血
49810,功效,疏风清热
49812,功效,补肾温肺平喘
49814,功效,补肺益肤
49815,功效,滋阴养胃
49816,功效,滋阴清肺
49817,功效,和胃止痛。
49818,功效,健肺益寿
49819,功效,清热化痰
49820,功效,补气健脾
49821,功效,补肾润肺
49822,功效,纳气平喘
49823,功效,补脾益肺
49826,功效,改善食品的外观
49827,功效,风味
49828,功效,组织结构或贮存性质的非营养物质。主要食用功效
49830,功效,芳香调味
49832,功效,补脾健胃
49834,功效,补血养血
49835,功效,补益脾胃
49836,功效,调中固肠
49837,功效,补脾和胃
49838,功效,养血强身。
49839,功效,健脾强胃
49840,功效,益肺固肾
49841,功效,益精补气
49842,功效,养血补虚
49843,功效,滋养强壮
49845,功效,延年益寿
49846,功效,健脾补虚
49847,功效,益气增肥
49848,功效,益气健胃
49849,功效,补虚强身
49851,功效,养血益胃
49852,功效,润肤抗衰
49853,功效,健脾固肾
49854,功效,益气血
49855,功效,止脱发
49856,功效,益阴阳
49857,功效,补气养血
49858,功效,益精髓
49860,功效,益气补血
49861,功效,调经
49863,功效,补益元气
49864,功效,益气健脾
49865,功效,滋阴补血。
49867,功效,补肾助阳
49868,功效,健脾养胃
49869,功效,补肾壮阳
49870,功效,健中固精
49871,功效,温补肾阳
49872,功效,固精健骨
49873,功效,提高人体免疫功能
49874,功效,促进血液循环
49875,功效,补钙
49876,功效,强身健脑
49877,功效,壮元阳
49878,功效,补肾气
49880,功效,益肝养精
49882,功效,温肾壮阳
49883,功效,补养精血
49884,功效,乌须黑发
49886,功效,益精养血
49887,功效,益肾固精
49888,功效,补肾阳
49889,功效,益精气
49890,功效,暖腰膝
49892,功效,强身健体
49894,功效,补肾益精
49895,功效,益气补精
49896,功效,补气壮阳
49898,功效,儿童饮料
49899,功效,强化儿童发育所需元素
49900,功效,养筋益气
49901,功效,理胃消食
49902,功效,祛寒止痛
49903,功效,逐寒湿
49904,功效,爽口开胃
49905,功效,滋润皮肤
49906,功效,美容
49907,功效,滋阴壮阳
49909,功效,身体虚弱以及病后需要调养
49910,功效,补中益气
49911,功效,增强人体免疫力
49912,功效,治疗疟疾病
49913,功效,滋阴生津止渴
49914,功效,补血滋阴
49915,功效,润燥清肺
49916,功效,滋阴补肾
49918,功效,益精明目
49919,功效,清热止渴。
49920,功效,养阴和血
49921,功效,退热散结
49922,功效,润燥生津
49923,功效,清热滋阴
49924,功效,宁心安神
49926,功效,益气补虚
49927,功效,养阴润肺
49928,功效,生津止渴
49930,功效,补气养阴
49931,功效,补肾益智
49932,功效,润心肺
49933,功效,凉血润燥
49934,功效,补阴生津
49935,功效,开胃除烦
49936,功效,滋阴降火
49937,功效,双补阴阳
49938,功效,补肾强体
49940,功效,养阴精
49941,功效,填骨髓。
49943,功效,能益气
49944,功效,润肺
49945,功效,润肠
49947,功效,防治潮热盗汗
49948,功效,心烦消渴
49949,功效,体弱消瘦
49950,功效,滋养发肤
49951,功效,预防神经衰弱
49953,功效,清火
49954,功效,助消化
49955,功效,增加胃动力
49956,功效,降血压
49957,功效,降血脂
49959,功效,降低血脂
49960,功效,抗癌
49962,功效,清热降火
49963,功效,去除油脂
49964,功效,调理肠胃
49966,功效,活血消炎
49967,功效,利尿
49968,功效,清热凉血止血
49969,功效,益精生血
49970,功效,滋养脏腑
49971,功效,气血生化之源
49972,功效,脾胃虚弱
49974,功效,滋补药膳
49976,功效,性味咸温
49977,功效,入肾经
49978,功效,营养不良
49979,功效,治寒湿痹病
49980,功效,头痛咳嗽
49981,功效,病后体虚
49982,功效,滋补
49983,功效,肝调养食谱脾调养食谱
49984,功效,润肺清热
49985,功效,预防筋骨肌肉强痛
49986,功效,清热去骨火
49988,功效,补虚益气
49989,功效,益阴补血
49991,功效,抗菌消炎
49992,功效,清心安神
49993,功效,止咳平喘。适用于咳嗽
49994,功效,气喘。
49995,功效,补元气
49996,功效,增强人身抗病能力
49997,功效,止咳平喘
49998,功效,平衡血液酸碱值
