治疗方法:ID,:LABEL,name
44715,治疗方法,无特异性治疗方法
44716,治疗方法,无有效治疗
44717,治疗方法,手术治疗或者保守治疗
44718,治疗方法,就地抢救，转移至平原地区，药物治疗
44719,治疗方法,加强翻身拍背促排痰护理
44720,治疗方法,治疗有化疗
44721,治疗方法,激素等药物治疗
44722,治疗方法,化疗支持性治疗
44723,治疗方法,抗感染治疗
44724,治疗方法,及时补充血容量及对症支持治疗
44725,治疗方法,抗结核药物治疗
44726,治疗方法,角膜交联术
44727,治疗方法,抗生素治疗
44728,治疗方法,无特效解毒药，一般对症治疗
44729,治疗方法,止咳祛痰平喘药物治疗、基础疾病治疗、氧疗、支持性治疗
44730,治疗方法,慢性糜烂性胃炎给予药物口服治疗
44731,治疗方法,中医药治疗
44732,治疗方法,药物治疗，改变不良生活方式
44733,治疗方法,药物治疗如促胃肠动力剂与止酸剂，注意饮食调节、半卧位，药物治疗无效者考虑手术治疗如胃底折叠术
44734,治疗方法,取栓术
44735,治疗方法,运动治疗
44736,治疗方法,支持性治疗，必要时角膜移植手术
44737,治疗方法,无特效治疗方法，对症治疗
44738,治疗方法,对症治疗，药物治疗
44739,治疗方法,行为治疗、觉醒训练、药物治疗、针灸和生物反馈治疗
44740,治疗方法,恢复咽鼓管通气引流功能，咽鼓管吹张或鼓膜穿刺平衡鼓室内外气压
44741,治疗方法,口腔护理
44742,治疗方法,药物治疗手术治疗
44743,治疗方法,糖皮质激素治疗
44744,治疗方法,持性治疗
44745,治疗方法,β受体阻滞剂、激光、手术、注射
44746,治疗方法,药物治疗（中医药治疗，西药治疗）
44747,治疗方法,饮食结构调整
44748,治疗方法,轻症的多数不需要处理，局部可以涂抹药膏；严重的需要手术治疗，并积极抗感染治疗
44749,治疗方法,药物治疗.三腔起搏器治疗.心脏移植
44750,治疗方法,内科治疗
44751,治疗方法,药物治疗如泻药、促动力药，中医理疗
44752,治疗方法,减肥、改变生活习惯、氧疗、手术、药物、人工机械通气
44753,治疗方法,抗结核治疗，胸腔抽液，支持治疗，必要时手术治疗
44754,治疗方法,造血干细胞移植
44755,治疗方法,主要是休息，给予低蛋白、低盐、适量脂肪饮食，利尿、降血压等对症治疗
44756,治疗方法,手术治疗，介入治疗
44757,治疗方法,原发病治疗
44758,治疗方法,硬化治疗
44759,治疗方法,血液透析等
44760,治疗方法,抗病毒治疗，对症治疗，
44761,治疗方法,早期可输注广谱抗生素。脓肿形成后需要手术切口引流治疗
44762,治疗方法,，支持性治疗，
44763,治疗方法,药物
44764,治疗方法,心理治疗为主
44765,治疗方法,大环内酯类或氟喹诺酮类药物治疗
44766,治疗方法,手法治疗
44767,治疗方法,化疗为主，加用放疗
44768,治疗方法,康复治疗生物反馈治疗
44769,治疗方法,中医中药
44770,治疗方法,介入治疗
44771,治疗方法,手术减压治疗
44772,治疗方法,消融
44773,治疗方法,，转移至平原地区，支持治疗
44774,治疗方法,皮质激素等药物治疗
44775,治疗方法,药物治疗，微血管减压手术
44776,治疗方法,支持治疗，抗菌素治疗
44777,治疗方法,心理治疗、暗示治疗
44778,治疗方法,休息
44779,治疗方法,中医辨证施治，给以中医药治疗，效果较好
44780,治疗方法,也可不做特殊治疗
44781,治疗方法,小儿纤维支气管镜
44782,治疗方法,支持性治疗，
44783,治疗方法,放射治疗，支持性治疗
44784,治疗方法,放射治疗，药物治疗
44785,治疗方法,A型肉毒素
44786,治疗方法,无特殊治疗
44787,治疗方法,大多患者无特殊治疗方法，主要为对症疗法
44788,治疗方法,支架
44789,治疗方法,停药
44790,治疗方法,药物治疗如消炎利胆措施，感染者给予抗生素治疗，胆管梗阻给予内镜或手术减压，大部分结石须手术治疗
44791,治疗方法,糖皮质激素、免疫抑制剂、羟氯喹、生物制剂、神经营养药物
44792,治疗方法,肠康复治疗
44793,治疗方法,器官移植
44794,治疗方法,病原体治疗对症治疗
44795,治疗方法,药物治疗如黏膜保护剂、抑酸剂，有幽门螺杆菌感染者进行根除治疗
44796,治疗方法,手术切除治疗药物治疗
44797,治疗方法,手术治疗为主，玻璃体切除联合内界膜剥除术
44798,治疗方法,无需治疗
44799,治疗方法,抗菌素治疗，
44800,治疗方法,物理疗法
44801,治疗方法,一般治疗
44802,治疗方法,对症支持性治疗为主
44803,治疗方法,支架治疗，手术治疗
44804,治疗方法,中医治疗法
44805,治疗方法,手术治疗。
44806,治疗方法,及时氧疗，药物治疗
44807,治疗方法,对症治
44808,治疗方法,手术切除
44809,治疗方法,手术治疗为主，其他如化疗、对症处理
44810,治疗方法,控制血压
44811,治疗方法,中西医排石治疗
44812,治疗方法,支持治疗包括优化通气和氧合、维持正常的血压心排出量、纠正酸中毒、维持血糖、控制惊厥等；神经保护治疗主
44813,治疗方法,支持性治疗，早期诊断和治疗，多数预后良好
44814,治疗方法,综合治疗
44815,治疗方法,手术切除治疗，挂线疗法
44816,治疗方法,康复治疗，语言训练等
44817,治疗方法,中药泡洗
44818,治疗方法,观察
44819,治疗方法,，对症治疗
44820,治疗方法,机械通气
44821,治疗方法,手术治疗中医中药治疗
