生产厂商:ID,:LABEL,name
21516,生产厂商,惠州大亚黄柏胶囊
21517,生产厂商,华南药业尼莫地平片
21518,生产厂商,上海信谊盐酸阿米替林片
21519,生产厂商,杭州民生富马酸依美斯汀缓释
21520,生产厂商,龙泰制药化痰平喘片
21521,生产厂商,民济药业强肝糖浆
21522,生产厂商,百裕盐酸多沙普仑注射液
21523,生产厂商,湖北潜江注射用头孢呋辛钠
21524,生产厂商,兰太药业天然胡萝卜素胶丸
21525,生产厂商,黑龙江天龙甲硝唑氯己定洗剂
21526,生产厂商,山西仟源医药注射用磷霉素钠
21527,生产厂商,广西慧宝源医药科技止痒消炎
21528,生产厂商,康和氨酪酸片
21529,生产厂商,中方制药布洛芬缓释混悬液
21530,生产厂商,华南药业苯丙氨酯片
21531,生产厂商,甘肃佛仁利胆排石片
21532,生产厂商,怡力昕
21533,生产厂商,重庆华邦制药对氨基水杨酸异
21534,生产厂商,利君制药氢化泼尼松注射液
21535,生产厂商,江西药都樟树鼻炎宁颗粒
21536,生产厂商,天津中新阿替洛尔片
21537,生产厂商,万邦德制药硫酸奈替米星注射
21538,生产厂商,修正药业金刚片
21539,生产厂商,白云山医药盐酸环丙沙星片
21540,生产厂商,润弘制药苯妥英钠片
21541,生产厂商,天一秦昆天蓉益肾合剂
21542,生产厂商,欣吉尔
21543,生产厂商,长龙药业前列桂黄片
21544,生产厂商,安徽济人蒲地蓝消炎片
21545,生产厂商,格润药业吡拉西坦注射液
21546,生产厂商,特一盐酸多西环素片
21547,生产厂商,以岭养正消积胶囊
21548,生产厂商,金港血康口服液
21549,生产厂商,来益维生素E软胶囊
21550,生产厂商,天津力生制药复方磺胺甲噁唑
21551,生产厂商,双药药业人工牛黄甲硝唑胶囊
21552,生产厂商,福邦药业维A酸乳膏
21553,生产厂商,岭南制药注射用硫酸长春新碱
21554,生产厂商,可盛盐酸米诺环素胶囊
21555,生产厂商,北京同仁堂大山楂丸
21556,生产厂商,沈阳福宁盐酸安非他酮缓释片
21557,生产厂商,迪红
