菜系:ID,:LABEL,name
50375,菜系,川菜
50379,菜系,粤菜
50380,菜系,沿淮菜
50385,菜系,满汉全席
50394,菜系,闽菜系
50397,菜系,鲁菜
50404,菜系,淮扬菜
50411,菜系,素食菜
50415,菜系,江浙菜
50417,菜系,秦菜
50421,菜系,皖南菜
50423,菜系,南京菜
50425,菜系,甜品小食
50428,菜系,桂菜
50429,菜系,法国菜
50431,菜系,韩式料理
50442,菜系,淮阳菜
50443,菜系,苏菜系
50449,菜系,湘菜
50450,菜系,浙菜
50451,菜系,贵州菜
50452,菜系,北方菜
50453,菜系,渝菜
50454,菜系,西餐
50455,菜系,东欧菜
50456,菜系,杭帮菜
50457,菜系,豫菜
50458,菜系,汤菜
50459,菜系,小吃
50460,菜系,重庆菜
50461,菜系,苏菜
50462,菜系,面食
50463,菜系,韩国菜
50464,菜系,闽菜
50465,菜系,凉菜
50466,菜系,金陵菜
50467,菜系,江南菜
50468,菜系,菜品
50469,菜系,晋菜
50470,菜系,潮菜
50472,菜系,沪菜
50473,菜系,粤菜系
162754,菜系,福建菜
162903,菜系,山东菜
163633,菜系,四川菜
163984,菜系,江苏菜
164086,菜系,安徽菜
164154,菜系,湖南菜
164872,菜系,广东菜
165113,菜系,浙江菜
165304,菜系,河南菜
165447,菜系,新疆菜
165458,菜系,陕西菜
165516,菜系,天津菜
165523,菜系,清真菜
165602,菜系,青海菜
165603,菜系,宁夏菜
165605,菜系,北京菜
166191,菜系,山西菜
166324,菜系,江西菜
166476,菜系,上海菜
167057,菜系,海南菜
167063,菜系,广西菜
167067,菜系,甘肃菜
167134,菜系,湖北菜
167261,菜系,东北菜
167422,菜系,滇黔菜
167534,菜系,少数民族菜
167540,菜系,台湾菜
167577,菜系,家常菜
170044,菜系,私家菜
175572,菜系,素斋菜
