诊断方法:ID,:LABEL,name
18109,诊断方法,明胶液化试验
18110,诊断方法,指脉氧
18111,诊断方法,周围血白细胞计数及分类检验
18112,诊断方法,唾液钾
18113,诊断方法,精液颜色
18114,诊断方法,最大胃液分泌量
18115,诊断方法,抗Jo-1抗体
18116,诊断方法,痰液中弹力纤维
18117,诊断方法,碳源利用试验
18118,诊断方法,浅感觉检查
18119,诊断方法,尿钠
18120,诊断方法,肘后三角检查
18121,诊断方法,预产期推算
18122,诊断方法,血清谷胱甘肽过氧化物酶
18123,诊断方法,X线碘油造影
18124,诊断方法,深吸气量（IC）
18125,诊断方法,引颈试验
18126,诊断方法,血栓素B2
18127,诊断方法,尿co2测定
18128,诊断方法,泪膜破裂时间
18129,诊断方法,E-玫瑰花环形成试验
18130,诊断方法,直肠镜检查
18131,诊断方法,抗SS-A和SS-B抗体
18132,诊断方法,织网红细胞计数
18133,诊断方法,细胞角蛋白19片段抗原（CYFRA21-1）
18134,诊断方法,足轴线偏移
18135,诊断方法,真菌的分离与鉴定
18136,诊断方法,胸膜摩擦感
18137,诊断方法,精液乳酸脱氢酶-X
18138,诊断方法,蝇蛆检查
18139,诊断方法,尿促卵泡成熟素
18140,诊断方法,血液碳氧血红蛋白
18141,诊断方法,缩胆囊素
18142,诊断方法,血浆组织纤溶酶原活化物抗原检测
18143,诊断方法,角膜检查
18144,诊断方法,β-半乳糖苷酶试验
18145,诊断方法,肺泡-动脉氧分压差（PA-aDO2）
18146,诊断方法,出血时间
18147,诊断方法,胎盘泌乳素（PL）
18148,诊断方法,尿6-酮-前列素F1a
18149,诊断方法,血清α1微球蛋白（α1-MG）
18150,诊断方法,尿血红蛋白定性
18151,诊断方法,同色表检查法
18152,诊断方法,泪滴状红细胞
18153,诊断方法,抗血小板抗体
18154,诊断方法,抑癌基因Rb
18155,诊断方法,儿童体检
18156,诊断方法,尿锌
18157,诊断方法,深反射检查
18158,诊断方法,不孕的生殖系统检查
18159,诊断方法,不规则抗体筛选
18160,诊断方法,甲状旁腺显像
18161,诊断方法,侧方应力试验
18162,诊断方法,尿瘘检测
18163,诊断方法,抗组织相容性抗原-DR抗体（抗-HLA-DR）
18164,诊断方法,尿亮氨酸氨基肽酶
18165,诊断方法,羊水泡沫试验
18166,诊断方法,周围血管征
18167,诊断方法,羊水与尿液鉴别试验
18168,诊断方法,电子胃镜
18169,诊断方法,全血镉
18170,诊断方法,羊水细胞培养染色体检查
18171,诊断方法,甲状旁腺激素（PTH)
18172,诊断方法,粪寄生虫卵
18173,诊断方法,弥散容量测定
18174,诊断方法,腹部外形触诊
18175,诊断方法,粪特里布累
18176,诊断方法,血清铯
18177,诊断方法,T3T4抗体
18178,诊断方法,一小时尿沉渣计数
18179,诊断方法,肿瘤前哨淋巴结显像
18180,诊断方法,线索细胞
18181,诊断方法,血清免疫球蛋白G（IgG）
18182,诊断方法,抗心磷脂抗体（ACA）
18183,诊断方法,睫状血管检查法
18184,诊断方法,补液试验
18185,诊断方法,肺部检查
18186,诊断方法,体液免疫检测法
18187,诊断方法,输精管造影
18188,诊断方法,尿果糖
18189,诊断方法,痰液气味
18190,诊断方法,颗粒膜蛋白-140
18191,诊断方法,洛日埃征
18192,诊断方法,卵磷脂小体
18193,诊断方法,唾液中的细胞
18194,诊断方法,鞠躬试验
18195,诊断方法,唾液肌酐
18196,诊断方法,呼吸动度
18197,诊断方法,5＇-核苷酸酶
18198,诊断方法,尿睾酮
18199,诊断方法,流式细胞DNA分析
18200,诊断方法,白带pH值
18201,诊断方法,甲状腺结合球蛋白（TBG）
18202,诊断方法,红细胞变形性
18203,诊断方法,脑脊液蛋白定性
18204,诊断方法,功能残气量（FRC）
18205,诊断方法,腹股沟外环冲击试验
18206,诊断方法,尿胆原（URO）
18207,诊断方法,髂胫束紧张试验
18208,诊断方法,冠状动脉CT检查
18209,诊断方法,转头试验
18210,诊断方法,脑脊液铅
18211,诊断方法,血清过氧化脂质
18212,诊断方法,强弱
18213,诊断方法,脑脊液病原体检查
18214,诊断方法,T管造影
18215,诊断方法,痰液显微镜检查
18216,诊断方法,乳房淋巴结实验
18217,诊断方法,大型血小板比例(P-LCR)
18218,诊断方法,尿铜
18219,诊断方法,无离子水（自由水）清除率
18220,诊断方法,精囊检查
18221,诊断方法,叠氮高铁血红蛋白
18222,诊断方法,纤维蛋白溶解时间
18223,诊断方法,螺旋体蛋白补体结合试验
18224,诊断方法,包皮包茎检查
18225,诊断方法,眼压描记检查法
18226,诊断方法,"维生素K(VitK,VK)"
18227,诊断方法,痰液细胞学检查
18228,诊断方法,盆腔MRI检查
18229,诊断方法,中枢神经递质和受体显像
18230,诊断方法,颞下颌关节造影
18231,诊断方法,输卵管亚甲蓝通畅试验
18232,诊断方法,尿肾上腺素
