食材:ID,:LABEL,amount,eat_method,name,not_user,pickking_time,production_method,production_place,side_effects,taste,toxicity,user
0,食材,,,草菇,一般人群均可食用。,,,,,,,一般人群均可食用，更是糖尿病患者的良好食品。
1,食材,,,木耳(水发),1.有出血性疾病、腹泻者的人应不食或少食；2.孕妇不宜多吃。,,,,,,,1.一般人群均可食用。2.适合心脑血管疾病、结石症患者食用。3.特别适合缺铁的人士、矿工、冶金工人、纺织工、理发师食用。
2,食材,,,金针菇,脾胃虚寒者金针菇不宜吃得太多。,,,,,,,1.一般人群均可食用。2.适合气血不足、营养不良的老人、儿童、癌症患者、肝脏病及胃、肠道溃疡、心脑血管疾病患者食用。
3,食材,,,海白菜,?孕妇及脾胃虚寒者应忌食慎食。,,,,,,,1.一般人都可食用。2.尤适宜中暑、颈淋巴结肿、疮疖、小便不利、水肿、高血压、心血管病等患者。
4,食材,,,白牛肝菌(干),一般人都可食用。,,,,,,,一般人都可食用。
5,食材,,,豆瓣,一般人群均可食用。,,,,,,,一般人群均可食用。
6,食材,,,萝卜干,一般人群均可食用。,,,,,,,一般人群均可食用。
8,食材,,,口蘑,一般人都适合食用。,,,,,,,1.一般人都适合食用。2.尤其适合癌症、心血管系统疾病、肥胖、便秘、糖尿病、肝炎、肺结核、软骨病患者食用。
9,食材,,,黑枣（无核）,有宿疾者应慎食，脾胃虚寒者不宜多吃，牙病患者不宜食用枣，便秘患者应慎食。,,,,,,,一般人群均可食用，中老年人、青少年、女性尤宜食用。
10,食材,,,梨,慢性肠炎、胃寒病、糖尿病患者忌食生梨。,,,新疆等,,,,般人群均可食用。咳嗽痰稠或无痰、咽喉发痒干疼者，慢性支气管炎、肺结核患者，高血压、心脏病、肝炎、肝硬化患者，饮酒后或宿醉未醒者尤其适合。
11,食材,,,桂皮,不适宜便秘、痔疮患者、孕妇食用。,,,,,,,一般人群均可食用。适宜食欲不振、腰膝冷痛、风湿性关节炎患者、心动过慢的人食用。
12,食材,,,豆豉,一般人群均可食用。,,,,,,,一般人群均可食用，尤其适合血栓患者。
13,食材,,,冬菜,一般人群均可食用。,,,,,,,一般人群均可食用。
14,食材,,,花菇,一般人群均可食用。,,,,,,,1.一般人都可食用。2.尤其适合小便不禁、高血压、高血脂、胆结石、贫血、小儿佝偻病、头晕、感冒、麻疹、粘膜溃疡、皮肤炎症、牙床坏血患者食用。
15,食材,,,滑子菇,一般人皆可食用。,,,,,,,一般人皆可食用。
16,食材,,,蘑菇(鲜蘑),1.蘑菇性滑，便泄者慎食；2.禁食有毒野蘑。,,,,,,,1.一般人群均可食用。2.尤适宜免疫力低下、高血压、老年人、糖尿病患者食用。
17,食材,,,香菇（干）,脾胃寒湿气滞或皮肤骚痒病患者忌食。,,,,,,,1.一般人群均可食用。2.贫血者、抵抗力低下者、高血脂患者、高血压患者、动脉硬化患者、糖尿病患者、癌症患者、肾炎患者食用。
18,食材,,,苹果,肾炎和糖尿病患者不宜多吃。,,,北半球的温带地区,,,,一般人群均可食用。慢性胃炎、消化不良、气滞不通者，便秘、慢性腹泻、神经性结肠炎，高血压、膏血脂和肥胖患者，癌症患者、贫血和维生素缺乏者尤其适合。准妈妈每天吃个苹果可以减轻孕期反应。
